company_name,job_description,job_link,job_location,job_posted,job_salary,job_title,posted_website
"AMZN CAN Fulfillment Svcs, ULC","Previous experience with auction theory, linear programming, convex optimization, and/or machine learning platform is a plus.",https://www.workopolis.com/job/wbQu7-tlDSdWrGoB9i3Jbwkw5WrsP_Kfk-zoOTmR081ZD4pH-CDXMw?q=machine+learning,"Toronto, ON",N/A,N/A,"Sr, Manager, Machine Learning",www.workopolis.com
Augmenta,"Investigate state-of-the-art machine learning methods by keeping abreast of bleeding-edge literature, interfacing with academic partners and attending…",https://www.workopolis.com/job/qBhtrIgrR70GsYseqX7xXHlgqXRdb3mpoTvuTxFjPQ3X7kARBvKNZQ?q=machine+learning,"Toronto, ON",N/A,N/A,Senior Machine Learning Engineer,www.workopolis.com
Capgemini,"If you are passionate about solving problems in the realm of cognitive computing, big data, and machine learning while utilizing business acumen, statistical…",https://www.workopolis.com/job/MSmUSqsV0o2Jw1-TX3uidlQZVncAEFp9Mbmys0mf_T0xxBWbvXTWsg?q=machine+learning,"Toronto, ON",N/A,N/A,Containerization on GSP - Toronto,www.workopolis.com
"AMZN CAN Fulfillment Svcs, ULC","As a Machine Learning Engineer, you will drive the direction of our technical solutions, and work on many different technologies such as deep learning, AWS,…",https://www.workopolis.com/job/6Vft5sCiqxv_70HjujRe5qZSXcpzHAwDxW5ialRYspMmqqS0-UGtiw?q=machine+learning,"Toronto, ON",N/A,N/A,Machine Learning Engineer II - Ads,www.workopolis.com
Paytm,"Experience with payments, risk, or trust & safety and with machine learning teams. Decisive, yet open to learning: We’re pretty serious about our coffee beans.",https://www.workopolis.com/job/YSG3kVWeMQuNWKrML8obhzq1FVo2LuC-N6-uS6stHxj4Pdpc5MT9iQ?q=machine+learning,"Toronto, ON",N/A,N/A,Cyber Fraud Analyst,www.workopolis.com
Capgemini,The software platform leverages Machine Learning and Artificial Intelligence to make sure the right people end up in the right job.,https://www.workopolis.com/job/e1mll7nv71KCp2LefukiQjNL-mbpiT5Nw0dWKPS17cHkaJvlp0W57w?q=machine+learning,"Toronto, ON",N/A,N/A,Fixed Income E - Trading Developer,www.workopolis.com
Loopio,"Working with business stakeholders to identify opportunities where statistical analysis, machine learning, and Natural Language Processing can improve business…",https://www.workopolis.com/job/KgWHbLVgcN8_QLig8qnmaBnjuORrggygbU0bmYEPia5E8tkX-pyLYQ?q=machine+learning,"Toronto, ON",11d,N/A,Data Scientist,www.workopolis.com
"Southern Graphics Systems, Canada Co.",Strong theoretical understanding of machine learning algorithms. Leverage and implement state of the art technologies in Machine learning and deep learning in…,https://www.workopolis.com/job/2fBU_XPP0c6PHFZcAxOdD5ouc4URykoYtuf6cxqhtEF8grZ-cVMVMQ?q=machine+learning,"Toronto, ON",N/A,N/A,Intern - Data Science,www.workopolis.com
Sunnybrook Health Sciences Centre,Assist team members in packaging and deploying machine learning models for medical imaging and digital pathology applications.,https://www.workopolis.com/job/aXKLSFUJ0c9DQG5JVzzqrf7Inm4lC8t3b8XeHGfMIBwaaORa2tuLAg?q=machine+learning,"Toronto, ON",N/A,N/A,Research Assistant - Martel Image Analysis Laboratory - Sunnybrook Research Institute (SB07242020),www.workopolis.com
Revolut,"You thrive in a collaborative space where everyone’s learning from each other, and learning fast. We want everyone at Revolut to own their story and their…",https://www.workopolis.com/job/Rn9LyC4U44J1W9zxTTUbI5zaiXuq7KPT9LQiqZnfigOePU7bVmVhcw?q=machine+learning,"Toronto, ON",N/A,N/A,Recruitment Coordinator,www.workopolis.com
AIR MILES,Develop advanced analytics based on predictive modeling and machine learning methodologies. It's fun to work in a company where people truly BELIEVE in what…,https://www.workopolis.com/job/1b3p2Nk7cDEoMWos2KbXHn7xRR2g4c7Iws0B1zmlrQaKKxDP5thGQg?q=machine+learning,"Toronto, ON",2d,N/A,"Analyst, Marketing Analytics",www.workopolis.com
WestRock,Comprehensive training with numerous learning and development opportunities. Have the ability to operate FedEx and UPS meter machines. What you need to succeed:,https://www.workopolis.com/job/mU-TE70yBdqwnGvgh3fn4mgtAi614BhbcLk77InEvOWcAzwlScGI6g?q=machine+learning,"Toronto, ON",N/A,N/A,"Material Handler-Toronto, Ontario",www.workopolis.com
University of Toronto,"Although RL is positioned as one of three facets of Machine Learning, RL has far broader scope than the narrower tools of supervised and unsupervised learning.",https://www.workopolis.com/job/ZpMDtcTLGbQLe6rVGndAAvOAqkIDDc4-Ej3b6SruVAC1dsevV4EbBw?q=machine+learning,"Toronto, ON",12d,N/A,[Sessional Lecturer] Introduction to Reinforcement Learning - APS1080,www.workopolis.com
RBC,"Lead development of data products vision, strategy and overall roadmap of the data products, driven by artificial intelligence, data science, machine learning…",https://www.workopolis.com/job/234qteth-aAkXcNGVFWKx1gQIct-hANFlQGWjjqmQUocXpmaMhHWww?q=machine+learning,"Toronto, ON",4d,N/A,"Director, Data & Analytics COE",www.workopolis.com
Canada Post - Postes Canada,"Ability to work with general equipment such as desktops, fax machines, photocopiers, scanners, video conferencing and telephone systems.",https://www.workopolis.com/job/tQ2DUeS9QCW_hjigCAk2jWr30_rMyx4kPa4dNHj_fZR_pW8Eeog6tA?q=machine+learning,"Mississauga, ON",N/A,N/A,Administrative Coordinator,www.workopolis.com
Google,"Expérience dans un ou plusieurs domaines de l'informatique, tels que la compréhension du langage naturel, les réseaux de neurones, la vision par ordinateur, le…",https://www.workopolis.com/job/YMY8xOT8nG4fVRwy2Fpr8H5unBo52GhrIIxgj7EUBFiei7ej4DPKHg?q=machine+learning,"Toronto, ON",N/A,N/A,"Stagiaire chercheur(se), niveau licence, été 2021",www.workopolis.com
IQ Hunt,"Cloud, Database, Big Data, BI, Data Science, Machine Learning, Artificial Intelligence. Our Client requires the services of a Data Architect to initiate an…",https://www.workopolis.com/job/07hD0xeJqkNHTUq4S5k9W6GoU-r9PrEGHEC845LEz_vM_kqSi9u2sA?q=machine+learning,"Toronto, ON",N/A,N/A,Data Architect,www.workopolis.com
Zynga,"Statistics, experimental design, machine learning, deep learning. Work closely with game team to design, test, verify and implement machine learning models and…",https://www.workopolis.com/job/-3_5qg96glJD2fhrJ3k5dlgZWwUirnpsafeMvQCoJoG_X5j7Jk8gbA?q=machine+learning,"Toronto, ON",N/A,N/A,Data Analyst II,www.workopolis.com
NVIDIA,"Ensures transfer learning from simulation to physical robots. Intelligent machines powered by AI computers that can learn, reason and interact with people are…",https://www.workopolis.com/job/Yvf5Ws_pG7arLVpQ7g_Bi4k6MkL-fJrI6vR_IXnez1ey0HlTCtY0wA?q=machine+learning,"Toronto, ON",2d,N/A,Robotics Simulation Engineer - New College Graduate,www.workopolis.com
SickKids,"We apply a wide range of analysis techniques, including machine learning to gain a better understanding of critically ill patient behavior.",https://www.workopolis.com/job/O51aFpSGFIgyquEHBfd3xmpmPHMyJWM26aXOXmCGPU7VRXV5_rKnzA?q=machine+learning,"Toronto, ON",4d,N/A,Program Manager,www.workopolis.com
