job_title,company_name,job_location,job_salary,job_description,job_posted,posted_website,job_link
Statistical Analyst,Pacific General Underwriting Management Ltd,"Vancouver, BC",,"Job Type: Full Time, Permanent.,Minimum Education: Master's Degree.",5 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=9a08bfc6354c9d9e&fccid=33f1235ae0fb8894&vjs=3
Consulting - Senior Data and Analytics,Ernst & Young,"Montréal, QC",,"Engineering degree or equivalent in areas such as computer , electrical engineering, industrial engineering,  , statistics, business…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=7e68f1b5e2a6182b&fccid=1544766d4c2915b0&vjs=3
Ingénieur en Science de Données / Data Science Engineer,Square Enix Montréal,"Montréal, QC",,"Experience in design / architecture and production of   models;,Capable de présenter les concepts clés reliés à la   à des audiences…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=d79e8904cb8d061e&fccid=f1c4e35cc4ebf53e&vjs=3
Application Engineer (Machine Learning) ID395,AU-ZONE TECHNOLOGIES INC.,"Calgary, AB",,"Working with  scientists and software developers on the creation of demo applications to show case the product value.,Yes, temporarily due to COVID-19.",2 days ago,Indeed.ca,https://ca.indeed.com/company/Au--Zone-Technologies/jobs/Application-Engineer-125d95e1ebf2ee78?fccid=d6a8b5028ae46030&vjs=3
Senior Data Scientist,Global Relay,"Vancouver, BC",,"Executing all steps in the   process from understanding business requirements to deploying models.,Experience working with very large  sets in an…",3 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=15caff3b5b594942&fccid=0d3fa1b8c4aea5ad&vjs=3
Data Scientist,Oracle,"Kitchener, ON",,Familiarize with the ML  repository and become a NetSuite  expert to provide guidance to product teams in using our  service.,9 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=b267e8aeff252c65&fccid=cd22d01053af7669&vjs=3
Senior Data Scientist,RailVision Analytics,"Montréal, QC","$60,000 - $70,000 a year","Assess the viability of  sources, and build scalable integration solutions for new clients.,As a member of the Development Team, you will be responsible for…",20 days ago,Indeed.ca,https://ca.indeed.com/company/RailVision-Analytics/jobs/Senior-Data-Scientist-7057a6c5062d20f3?fccid=47912a4ddabe9c7c&vjs=3
Data Scientist,AdGear,"Montréal, QC",,"Analysis of raw  within Samsung Ads ecosystems.,Experiencing producing  visualizations, presenting and discussing findings.",8 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=bda21c6be45f3879&fccid=80c50203c7c121bb&vjs=3
Data Scientist,Bus.com,"Montréal, QC",,"Familiar with  engineering and visualizations.,Analyze, visualize, and communicate insights from our data.,Knowledge in multi-criteria decision analysis.",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=70aed3eb2614b980&fccid=a80572d1fb930693&vjs=3
Data Scientist,Indigo Park,"Toronto, ON",,"Responsible for  preparation, manipulation and the maintenance of the  flow into dashboards and  models.,Sites easily accessible by public transit.",23 days ago,Indeed.ca,https://ca.indeed.com/company/Indigo-Park/jobs/Data-Scientist-721e6defafaf41b7?fccid=f83a9d9f01608345&vjs=3
